社区居委会	X	Y	街道名称	区名称
锁一	118.821913	32.077831	锁金村	玄武区
锁二	118.821702	32.078004	锁金村	玄武区
锁三	118.819865	32.083066	锁金村	玄武区
锁四	118.823307	32.080331	锁金村	玄武区
锁五	118.826757	32.081257	锁金村	玄武区
新庄	118.816372	32.0868	锁金村	玄武区
韶山路	118.797981	32.094734	锁金村	玄武区
紫鑫城	118.825796	32.073876	锁金村	玄武区
南林大	118.824691	32.083842	锁金村	玄武区
网巾市	118.80086	32.054836	新街口	玄武区
香铺营	118.800715	32.053678	新街口	玄武区
中山东路	118.809805	32.047394	新街口	玄武区
中山路	118.794055	32.054251	新街口	玄武区
一枝园	118.799427	32.05448	新街口	玄武区
糖坊桥	118.792223	32.050044	新街口	玄武区
北门桥	118.792828	32.054965	新街口	玄武区
唱经楼	118.794083	32.056647	新街口	玄武区
双龙巷	118.792392	32.061358	新街口	玄武区
大石桥	118.794337	32.059953	新街口	玄武区
丹凤新寓	118.793966	32.059707	新街口	玄武区
居安里	118.793959	32.056503	新街口	玄武区
虹板桥	118.791881	32.04897	新街口	玄武区
大纱帽巷	118.801704	32.055527	新街口	玄武区
成贤街	118.798385	32.056992	新街口	玄武区
小卫街	118.857838	32.043821	孝陵卫	玄武区
孝陵卫西段	118.871165	32.041289	孝陵卫	玄武区
孝陵卫东段	118.863602	32.040141	孝陵卫	玄武区
晏公庙	118.86825	32.04086	孝陵卫	玄武区
晏公庙村西	118.867315	32.040554	孝陵卫	玄武区
钟灵街社区	118.872858	32.043865	孝陵卫	玄武区
农科院	118.877897	32.040972	孝陵卫	玄武区
南农大	118.848514	32.038805	孝陵卫	玄武区
* 铁匠营	118.855754	32.045022	孝陵卫	玄武区
童卫路	118.845307	32.039677	孝陵卫	玄武区
理工大	118.869489	32.029783	孝陵卫	玄武区
康定里	118.858853	32.027866	孝陵卫	玄武区
北苑	118.827287	32.107677	红山	玄武区
月苑	118.836723	32.10223	红山	玄武区
营苑	118.835875	32.109676	红山	玄武区
红山公园	118.808692	32.09621	红山	玄武区
曹后	118.81348	32.090566	红山	玄武区
藤子	118.832452	32.098361	红山	玄武区
小营	118.835956	32.108386	红山	玄武区
红山村	118.803617	32.094331	红山	玄武区
阳光嘉园	118.82426	32.095656	红山	玄武区
花红园	118.805728	32.055303	梅园	玄武区
文昌街	118.805696	32.059679	梅园	玄武区
兰园	118.799592	32.055183	梅园	玄武区
九华山	118.813974	32.065021	梅园	玄武区
公教一村	118.80602	32.06398	梅园	玄武区
大影壁	118.811189	32.056067	梅园	玄武区
梅园新村	118.808899	32.048934	梅园	玄武区
大行宫	118.799116	32.048062	梅园	玄武区
廖家巷	118.791267	32.091234	玄武门	玄武区
台城花园	118.80014	32.069596	玄武门	玄武区
百子亭	118.791435	32.071976	玄武门	玄武区
大树根	118.792325	32.081096	玄武门	玄武区
高楼门	118.793502	32.069167	玄武门	玄武区
天山路	118.794939	32.070563	玄武门	玄武区
半山园	118.831796	32.057365	后宰门	玄武区
佛心桥	118.82558	32.057421	后宰门	玄武区
富贵山	118.826353	32.052429	后宰门	玄武区
北安门	118.830309	32.049642	后宰门	玄武区
清溪路	118.818169	32.064153	后宰门	玄武区
太平门	118.828805	32.07591	后宰门	玄武区
板仓	118.828571	32.088314	玄武湖	玄武区
花园路	118.837131	32.084935	玄武湖	玄武区
蒋王庙	118.836432	32.088245	玄武湖	玄武区
樱驼花园	118.84113	32.091949	玄武湖	玄武区
东方城	118.833476	32.092744	玄武湖	玄武区
仙居雅苑	118.864899	32.101192	玄武湖	玄武区
岔路口	118.796493	32.036176	玄武湖	玄武区
龙王庙	118.796493	32.036176	洪武路	白下区
武学园	118.792702	32.04152	洪武路	白下区
申家巷	118.801622	32.038591	洪武路	白下区
棉鞋营	118.806243	32.035044	洪武路	白下区
马府街	118.79935	32.035591	洪武路	白下区
火瓦巷	118.797095	32.039651	洪武路	白下区
建康新村	118.792208	32.031183	建康路	白下区
致和街	118.798676	32.030385	建康路	白下区
刘公巷	118.796978	32.031591	建康路	白下区
王府南园	118.791669	32.029733	建康路	白下区
王府园	118.79352	32.033835	建康路	白下区
